InputText,Label
printelabrirparentesislacomillasimpleHellolacoma world!lacomillasimpleelcerrarparentesis,1
def addlabarrabajanumberselabrirparentesisxlacoma yelcerrarparentesislosdospuntos return x elmas y,1
public static void mainelabrirparentesisStringelabrircorcheteelcerrarcorchete argselcerrarparentesis elabrirllave SystemelpuntooutelpuntoprintlnelabrirparentesislacomillasimpleHellolacoma world!lacomillasimpleelcerrarparentesiselpuntoycomaelcerrarllave,0
const numbers eligual elabrircorcheteelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarcorcheteelpuntoycomaconst sum eligual numberselpuntoreduceelabrirparentesiselabrirparentesisacclacoma curelcerrarparentesis eligualelmayorque acc elmas curelcerrarparentesiselpuntoycomaconsoleelpuntologelabrirparentesissumelcerrarparentesiselpuntoycoma,0
int numeluno eligual elcincoelpuntoycomaint numeldos eligual elsieteelpuntoycomaint sum eligual numeluno elmas numeldoselpuntoycoma,0
for letter in lacomillasimplehellolacomillasimplelosdospuntos printelabrirparentesisletterelcerrarparentesis,1
if elabrirparentesisx elmayorque elunoelceroelcerrarparentesis elabrirllave Systemelpuntooutelpuntoprintlnelabrirparentesislacomillasimplex is greater than elunoelcerolacomillasimpleelcerrarparentesiselpuntoycomaelcerrarllave else elabrirllave Systemelpuntooutelpuntoprintlnelabrirparentesislacomillasimplex is less than or equal to elunoelcerolacomillasimpleelcerrarparentesiselpuntoycomaelcerrarllave,0
def multiplylabarrabajanumberselabrirparentesisxlacoma yelcerrarparentesislosdospuntos return x elasterisco y,1
for elabrirparentesisint i eligual elceroelpuntoycoma i elmenorque elunoelceroelpuntoycoma ielmaselmaselcerrarparentesis elabrirllave Systemelpuntooutelpuntoprintlnelabrirparentesisielcerrarparentesiselpuntoycomaelcerrarllave,0
printelabrirparentesislacomillasimpleHellolacoma world!lacomillasimpleelcerrarparentesis,1
def factorialelabrirparentesisnelcerrarparentesislosdospuntos return eluno if n elmenorqueeligual eluno else n elasterisco factorialelabrirparentesisnelmenoselunoelcerrarparentesis,1
numeluno eligual elcincoelsaltodelineanumeldos eligual elunoelceroelsaltodelineasum eligual numeluno elmas numeldoselsaltodelineaprintelabrirparentesissumelcerrarparentesis,0
const fruits eligual elabrircorchetelacomillasimpleapplelacomillasimplelacoma lacomillasimplebananalacomillasimplelacoma lacomillasimplecherrylacomillasimpleelcerrarcorcheteelsaltodelineafor fruit in fruitslosdospuntoselsaltodelinea printelabrirparentesisfruitelcerrarparentesis,0
public static void mainelabrirparentesisStringelabrircorcheteelcerrarcorchete argselcerrarparentesis elabrirllaveelsaltodelinea int x eligual elcincoelpuntoycomaelsaltodelinea SystemelpuntooutelpuntoprintlnelabrirparentesislacomillasimpleThe value of x islosdospuntos lacomillasimple elmas xelcerrarparentesiselpuntoycomaelsaltodelineaelcerrarllave,0
def islabarrabajaprimeelabrirparentesisnumelcerrarparentesislosdospuntoselsaltodelinea if num elmenorqueeligual elunolosdospuntoselsaltodelinea return Falseelsaltodelinea for i in rangeelabrirparentesiseldoslacoma numelcerrarparentesislosdospuntoselsaltodelinea if num elporcentaje i eligualeligual elcerolosdospuntoselsaltodelinea return Falseelsaltodelinea return True,1
var numbers eligual elabrircorcheteelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarcorcheteelsaltodelineavar sum eligual numberselpuntoreduceelabrirparentesiselabrirparentesisalacoma belcerrarparentesis eligualelmayorque a elmas belcerrarparentesiselsaltodelineaconsoleelpuntologelabrirparentesissumelcerrarparentesis,0
